Years_of_Experience,Education_Level,Job_Complexity,Work_Hours_Per_Week,Company_Size,Salary (Euros),Buyer_Income (Euros),Job_Satisfaction
3,1,8,33,Small,55431.0,61595.29,No
1,1,2,52,Medium,51606.0,45158.22,Yes
5,1,6,36,Medium,63290.0,57805.15,Yes
3,3,5,57,Large,77416.0,83279.53,No
28,3,10,57,Small,119531.0,103440.71,Yes
17,2,9,33,Medium,92816.0,92608.15,Yes
25,2,5,51,Medium,96914.0,95230.81,No
33,2,2,41,Large,108848.0,103440.47,Yes
9,1,5,42,Medium,59270.0,57395.39,Yes
35,1,4,32,Small,111870.0,112874.84,No
13,3,7,51,Large,92804.0,83376.06,Yes
30,1,6,41,Large,119288.0,121864.47,No
14,1,2,31,Small,66693.0,72804.06,No
7,1,5,53,Large,64605.0,69647.31,No
13,2,7,31,Medium,77817.0,69737.26,Yes
22,2,7,56,Medium,103166.0,92310.34,Yes
39,3,5,52,Small,130820.0,121721.77,Yes
20,1,9,38,Medium,103923.0,99591.74,No
15,1,4,30,Small,66982.0,65142.45,No
17,3,3,37,Small,80527.0,84868.14,No
23,1,4,52,Medium,87736.0,76067.47,Yes
25,1,5,35,Small,82178.0,70706.1,Yes
24,2,6,35,Medium,94815.0,91740.45,Yes
28,3,3,51,Large,119593.0,126666.82,No
14,3,2,54,Large,89141.0,80942.76,Yes
0,3,4,47,Small,57017.0,59437.45,Yes
24,3,5,46,Medium,104786.0,97236.01,Yes
6,2,4,58,Medium,71856.0,80178.78,No
8,2,3,41,Large,77280.0,86453.68,No
23,1,8,35,Large,109069.0,102436.1,Yes
0,1,10,55,Medium,59749.0,54909.22,Yes
7,1,4,56,Small,49105.0,47798.37,Yes
23,1,2,37,Large,95067.0,87666.93,Yes
10,2,2,48,Small,56529.0,59452.41,No
16,3,1,57,Small,67435.0,74031.45,No
7,2,4,39,Large,77792.0,81831.55,No
34,1,10,30,Small,117766.0,129225.24,No
34,2,9,54,Small,119926.0,116220.0,Yes
32,3,7,58,Medium,122262.0,109656.19,Yes
4,3,10,42,Small,67406.0,72217.8,No
38,2,7,46,Medium,126775.0,121468.5,Yes
27,2,7,32,Large,110419.0,116092.47,No
6,2,8,37,Large,74941.0,69784.55,Yes
8,1,1,43,Medium,51527.0,45053.61,Yes
7,2,10,32,Large,87989.0,100991.53,No
11,2,10,45,Small,88301.0,79193.67,Yes
33,2,8,42,Small,111090.0,127367.61,No
32,3,4,49,Small,109923.0,125662.21,No
22,3,4,53,Large,101855.0,110833.05,No
23,1,4,46,Small,82681.0,86635.37,No
36,1,6,42,Large,122013.0,124861.04,No
34,3,7,58,Small,117808.0,130746.91,No
39,3,6,35,Medium,130220.0,121994.24,Yes
21,3,1,46,Large,91157.0,90273.17,Yes
26,2,8,43,Large,118796.0,123050.92,No
34,2,10,46,Small,124336.0,121023.33,Yes
0,3,7,59,Large,69289.0,67781.68,Yes
34,2,6,37,Large,133345.0,126555.79,Yes
36,2,6,40,Medium,119675.0,121981.08,No
13,1,5,49,Medium,73505.0,81235.69,No
2,3,6,57,Small,69497.0,63274.14,Yes
0,3,9,30,Medium,74302.0,83985.77,No
4,2,10,55,Small,69335.0,73268.12,No
25,3,9,36,Small,113615.0,124633.61,No
13,1,10,50,Small,77455.0,78760.68,Yes
38,1,8,50,Large,129282.0,140122.94,No
26,1,10,46,Medium,113213.0,96781.28,Yes
8,3,9,59,Small,86895.0,95194.7,No
14,3,10,39,Medium,99375.0,85665.39,Yes
14,3,8,40,Small,93540.0,104481.75,No
25,3,8,51,Medium,119583.0,137232.11,No
12,3,1,59,Medium,73229.0,68704.93,No
31,1,10,38,Small,108821.0,99363.97,Yes
38,2,5,38,Large,128635.0,138875.5,No
31,1,4,53,Medium,98187.0,90912.12,Yes
3,3,2,34,Large,72315.0,80245.69,No
29,1,8,46,Large,115782.0,101986.9,Yes
36,3,3,38,Small,120755.0,107204.67,Yes
22,3,4,46,Small,93733.0,107206.69,No
38,1,7,53,Small,122017.0,128380.39,No
14,3,10,50,Medium,98066.0,108271.35,No
28,2,9,48,Small,104466.0,98960.52,Yes
35,3,2,56,Small,103975.0,109479.97,No
12,2,3,36,Medium,72312.0,74356.44,No
31,2,4,52,Medium,110946.0,114379.23,Yes
6,3,10,38,Small,72062.0,76008.1,No
21,1,1,36,Small,68347.0,69892.17,No
27,2,7,42,Small,104235.0,102016.74,Yes
1,1,2,40,Small,40194.0,37492.03,Yes
5,2,5,43,Large,77992.0,84276.16,No
27,3,1,48,Large,107482.0,98655.76,Yes
27,3,3,40,Small,97331.0,102947.61,Yes
19,2,2,42,Large,85527.0,78684.83,Yes
29,3,1,43,Medium,102330.0,106177.51,No
10,2,7,42,Large,91884.0,98694.76,No
27,3,5,30,Large,125366.0,114786.89,Yes
24,1,1,37,Small,81166.0,70450.71,Yes
38,3,6,41,Large,134659.0,119751.19,Yes
32,1,5,48,Large,117120.0,120844.31,Yes
0,3,3,41,Large,57757.0,63811.89,No
26,1,7,37,Large,101764.0,87873.12,Yes
12,3,10,37,Medium,102662.0,109873.53,Yes
2,1,9,58,Small,52394.0,49899.81,Yes
38,2,9,50,Small,126674.0,125858.03,No
5,2,9,42,Medium,82660.0,93294.86,No
7,1,2,41,Large,62031.0,58904.11,Yes
26,3,3,58,Medium,97530.0,96515.79,Yes
8,1,7,45,Large,79746.0,68111.44,Yes
36,3,5,30,Medium,128376.0,112262.2,Yes
32,2,2,42,Small,95405.0,88495.53,Yes
23,3,3,55,Small,98601.0,84634.73,Yes
14,2,10,36,Small,85619.0,88993.47,No
31,3,6,57,Large,134515.0,131544.84,Yes
31,3,7,55,Large,135920.0,137883.17,No
23,3,9,34,Medium,111650.0,100752.31,Yes
11,1,1,37,Medium,67927.0,63768.48,Yes
38,1,7,54,Small,122132.0,128134.46,Yes
1,2,8,56,Large,68656.0,78239.75,No
2,2,3,43,Medium,50235.0,43459.56,Yes
36,1,4,52,Large,118753.0,132660.79,No
16,2,10,59,Large,112509.0,115103.95,No
1,1,6,42,Small,48916.0,49854.01,No
1,3,10,44,Small,67834.0,67839.67,No
27,2,7,52,Large,113689.0,99002.45,Yes
22,2,4,46,Large,94146.0,82562.56,Yes
36,1,8,44,Large,137257.0,141412.26,Yes
31,2,5,49,Large,117365.0,111765.23,Yes
32,2,1,47,Small,90194.0,101484.52,No
0,3,4,47,Medium,54411.0,52886.25,Yes
18,2,3,31,Small,71517.0,63863.57,Yes
1,3,9,33,Medium,80413.0,85592.86,No
25,1,8,59,Large,110954.0,104075.52,Yes
31,2,1,30,Medium,104815.0,105615.9,No
5,3,6,33,Small,63145.0,66892.65,Yes
31,1,9,47,Small,117017.0,131068.31,No
3,2,7,34,Large,68675.0,74694.87,No
10,1,4,48,Small,64193.0,67589.34,No
16,2,1,44,Large,89563.0,94389.55,No
37,1,2,57,Small,107451.0,121825.51,No
23,1,5,37,Small,89970.0,84459.09,Yes
4,3,5,49,Large,75328.0,64053.93,Yes
33,1,8,46,Medium,112555.0,104854.7,Yes
5,2,6,30,Small,56970.0,52148.48,Yes
21,2,8,41,Medium,101772.0,106713.07,Yes
10,3,2,55,Small,73997.0,76965.28,Yes
15,2,3,48,Small,73732.0,75799.33,No
32,2,6,44,Small,115719.0,98925.05,Yes
8,2,10,38,Small,77175.0,82471.78,No
5,1,3,36,Medium,51915.0,49166.57,Yes
15,1,6,31,Medium,76331.0,80110.67,No
28,2,6,58,Small,104695.0,106472.04,No
2,3,2,38,Small,45542.0,43393.3,Yes
19,1,7,39,Medium,94347.0,84004.01,Yes
35,3,2,31,Large,123026.0,108056.89,Yes
18,2,6,48,Large,98701.0,108517.36,No
25,2,1,40,Medium,83691.0,94195.83,No
2,1,3,42,Small,43195.0,45136.03,No
18,2,2,39,Small,79804.0,70309.74,Yes
19,1,7,43,Large,89561.0,86928.64,No
31,2,4,47,Large,115511.0,123444.5,No
6,2,8,48,Medium,76075.0,82461.21,No
32,1,6,51,Large,110249.0,97621.7,Yes
39,1,10,38,Medium,129334.0,109935.09,Yes
38,1,4,54,Large,127203.0,135298.34,No
17,2,5,36,Large,101508.0,97141.01,Yes
39,2,9,57,Large,143287.0,132733.11,Yes
0,3,7,32,Small,61328.0,52366.09,Yes
10,1,10,49,Small,67036.0,67846.45,Yes
27,2,9,35,Small,104231.0,115211.24,No
24,2,7,56,Large,105848.0,120379.82,No
22,1,1,50,Medium,84157.0,85816.87,Yes
30,3,8,31,Medium,127349.0,127901.49,No
29,1,4,58,Medium,103979.0,91035.37,Yes
34,3,3,35,Medium,122186.0,123977.47,Yes
6,2,7,32,Small,62757.0,60497.35,Yes
15,3,3,45,Small,75579.0,78008.15,Yes
25,2,8,59,Large,120453.0,116432.03,No
1,1,6,37,Large,56230.0,51849.11,Yes
0,1,5,31,Medium,44379.0,38986.49,Yes
11,1,4,46,Small,64958.0,61351.24,Yes
4,3,8,38,Medium,84935.0,74657.31,Yes
36,2,8,59,Large,143630.0,129707.81,Yes
31,1,1,41,Large,110425.0,126569.23,No
8,1,9,32,Medium,78805.0,77483.52,Yes
34,2,5,40,Large,129018.0,130251.61,Yes
18,1,4,30,Medium,79942.0,88902.34,No
15,2,6,52,Small,83298.0,95681.97,No
2,2,6,42,Medium,56611.0,58015.76,No
19,2,2,44,Small,71573.0,78282.41,No
23,2,8,55,Small,100735.0,95505.07,Yes
32,2,7,34,Large,125457.0,118145.77,No
23,3,1,50,Large,103592.0,100568.27,Yes
10,1,5,59,Large,82027.0,86272.08,No
7,3,6,46,Medium,82373.0,86875.3,Yes
35,1,4,54,Medium,104289.0,98508.45,No
37,3,2,52,Large,122047.0,108617.31,Yes
39,2,4,53,Medium,119399.0,124141.39,No
19,1,1,54,Large,80081.0,71151.79,Yes
34,1,7,35,Medium,118835.0,121633.3,No
24,3,2,57,Small,90722.0,95986.29,No
34,3,2,50,Small,107259.0,113714.22,No
24,1,9,51,Large,105883.0,113934.52,No
28,3,5,40,Medium,119039.0,132354.44,No
17,3,2,47,Medium,91357.0,91355.88,No
17,3,9,33,Small,93562.0,100024.77,No
1,2,9,32,Small,56516.0,58536.55,Yes
34,2,1,42,Large,109836.0,99510.54,Yes
15,3,3,52,Small,72818.0,62456.5,Yes
35,3,4,38,Large,124782.0,116716.39,Yes
32,2,7,50,Small,113282.0,111346.02,Yes
3,2,10,35,Small,67057.0,69412.83,Yes
32,1,4,55,Medium,102520.0,113283.35,No
13,1,2,59,Small,65150.0,59213.12,Yes
20,2,7,57,Small,92845.0,82415.25,Yes
19,3,6,41,Large,104524.0,119057.43,No
7,3,3,31,Small,61427.0,54204.01,Yes
6,3,6,32,Large,83217.0,82680.03,Yes
2,3,6,32,Small,54376.0,55771.78,No
16,1,5,57,Small,75329.0,76264.01,No
32,2,4,41,Large,115808.0,101425.76,Yes
11,3,10,44,Medium,87487.0,75860.68,Yes
21,1,1,38,Large,77829.0,68617.55,Yes
21,3,10,52,Large,123434.0,126603.33,Yes
29,2,6,37,Large,115267.0,116800.45,Yes
37,1,2,40,Medium,114823.0,105651.2,Yes
37,2,3,45,Small,111180.0,115775.32,No
7,2,8,55,Large,81118.0,88906.97,No
26,1,10,56,Large,110953.0,95694.04,Yes
26,1,6,54,Medium,101286.0,101229.18,No
33,1,3,51,Large,109994.0,116240.9,No
20,1,7,33,Small,83474.0,77271.35,Yes
29,1,4,57,Medium,101918.0,96040.52,Yes
32,1,9,30,Small,107874.0,111551.57,No
27,1,5,53,Small,91792.0,102750.18,No
32,3,3,36,Medium,118188.0,129176.8,No
4,2,2,31,Large,58303.0,59757.02,No
18,1,2,53,Small,62840.0,67180.14,Yes
3,3,3,57,Small,52035.0,49924.81,Yes
34,3,2,34,Small,116195.0,121108.85,No
16,3,4,36,Small,89377.0,88470.22,Yes
27,2,2,33,Medium,101594.0,92143.81,Yes
29,1,10,34,Medium,114324.0,121243.06,No
28,3,9,53,Small,113101.0,115016.86,No
5,2,2,30,Large,57844.0,55390.63,Yes
34,2,9,30,Small,126731.0,142369.83,No
36,2,6,44,Large,137336.0,117598.1,Yes
23,3,1,49,Small,79346.0,74960.7,Yes
28,1,4,48,Large,101315.0,87846.63,Yes
30,3,1,58,Small,107287.0,115865.47,No
34,3,6,39,Large,128309.0,136088.66,Yes
32,1,4,57,Small,91834.0,87187.72,Yes
20,1,3,47,Small,73087.0,76938.6,No
31,1,3,57,Large,113938.0,110380.99,Yes
22,2,9,32,Medium,113196.0,121898.07,No
32,1,6,40,Large,109826.0,108316.45,No
2,3,9,44,Medium,72243.0,70341.85,No
17,1,5,56,Small,73285.0,82842.75,No
24,3,2,59,Large,108351.0,100253.25,Yes
30,2,8,40,Large,122558.0,108602.84,Yes
2,3,5,46,Large,75122.0,77027.31,No
39,3,2,46,Medium,129171.0,147357.83,No
23,1,4,35,Medium,81586.0,78596.02,Yes
31,1,9,34,Small,115980.0,100741.51,Yes
21,3,4,37,Medium,104359.0,99328.02,Yes
22,1,4,31,Medium,90669.0,90830.35,Yes
1,2,2,45,Small,38335.0,34446.95,Yes
26,2,6,49,Large,106732.0,111794.37,No
1,1,2,53,Large,54916.0,63116.32,No
25,2,7,41,Small,100540.0,99084.37,Yes
16,1,3,35,Large,75332.0,72048.92,Yes
39,3,3,30,Medium,120952.0,117348.99,No
32,3,5,33,Small,110609.0,97838.51,Yes
8,2,3,46,Small,55974.0,62410.01,No
38,1,2,42,Small,110300.0,107481.58,Yes
28,1,10,47,Large,125704.0,121452.98,Yes
25,2,9,34,Small,111023.0,116341.79,No
34,3,2,59,Small,103081.0,101288.42,Yes
24,2,2,53,Small,77469.0,80914.05,No
23,3,8,53,Large,112030.0,97290.65,Yes
12,1,9,56,Medium,78505.0,85893.66,No
6,3,7,32,Small,74695.0,84566.03,No
35,2,3,40,Medium,112639.0,117666.04,Yes
19,1,9,42,Large,95274.0,108266.49,No
0,2,3,33,Large,63883.0,57202.74,Yes
7,2,5,55,Large,79184.0,78647.52,No
15,3,9,56,Large,100195.0,103255.16,No
13,2,3,43,Medium,70158.0,71878.34,Yes
11,3,7,51,Small,87121.0,84545.58,Yes
22,1,1,40,Large,82362.0,78361.29,Yes
14,3,4,56,Large,85645.0,76056.8,Yes
27,1,4,39,Medium,94863.0,91782.11,Yes
33,3,7,48,Medium,127311.0,114426.9,Yes
1,2,8,47,Large,64852.0,69411.72,No
31,3,1,35,Small,103249.0,94230.13,Yes
22,3,5,56,Small,92670.0,80397.67,Yes
21,1,7,58,Large,99879.0,101448.08,No
24,2,4,44,Medium,90866.0,93461.94,No
21,3,4,50,Large,110348.0,122659.96,No
21,2,4,59,Large,97701.0,99957.35,Yes
5,3,6,39,Medium,68785.0,65596.42,Yes
14,3,7,34,Large,92419.0,100820.22,No
36,2,2,55,Large,121397.0,122863.92,Yes
32,3,5,58,Large,134043.0,117124.64,Yes
7,2,4,34,Medium,73956.0,75417.01,Yes
4,3,3,39,Small,64457.0,72346.9,No
38,1,7,57,Small,115755.0,112154.3,No
3,2,6,34,Medium,58694.0,55107.66,Yes
5,3,7,32,Small,69763.0,62301.21,Yes
31,3,5,52,Large,131441.0,117696.7,Yes
29,1,6,35,Small,104720.0,102607.95,Yes
34,2,5,33,Large,126945.0,130588.82,Yes
39,3,7,47,Small,132121.0,115498.15,Yes
15,1,2,57,Medium,71759.0,81221.9,No
12,3,5,38,Small,80974.0,87171.76,No
29,2,6,46,Small,107345.0,110134.59,No
18,3,6,58,Small,86882.0,95442.62,No
16,3,5,42,Medium,97379.0,85114.7,Yes
18,3,10,56,Small,93098.0,92451.12,Yes
27,3,7,44,Medium,115343.0,119844.6,No
25,1,10,59,Large,120488.0,132367.62,No
36,1,8,49,Small,116818.0,126752.3,No
25,2,7,46,Medium,104418.0,97434.61,Yes
22,1,5,42,Medium,82448.0,93352.91,No
8,1,1,45,Small,45274.0,40171.79,Yes
11,2,5,51,Large,87400.0,97236.0,No
0,1,10,33,Medium,62869.0,71751.26,No
0,1,2,34,Small,28307.0,25565.36,Yes
33,2,5,34,Large,118316.0,126198.19,No
31,2,5,38,Medium,117738.0,101500.24,Yes
24,2,2,46,Medium,98448.0,95654.72,Yes
39,3,5,42,Large,142226.0,142920.77,No
0,3,4,31,Large,72053.0,73796.22,Yes
15,2,1,42,Small,63320.0,71601.06,No
38,2,3,51,Small,115901.0,121890.21,No
4,2,1,50,Medium,59607.0,59272.21,No
21,3,5,56,Large,102858.0,112413.77,No
28,3,4,52,Large,113878.0,129269.73,No
2,1,7,48,Large,69769.0,59765.51,Yes
11,1,5,32,Medium,68831.0,78794.73,No
25,2,10,39,Large,117620.0,103016.26,Yes
15,3,4,31,Large,101916.0,111528.31,No
36,3,2,42,Medium,122678.0,114593.57,Yes
21,3,4,48,Small,85785.0,76318.96,Yes
28,2,2,55,Small,100385.0,98573.72,Yes
13,1,8,46,Medium,81512.0,85032.26,No
27,2,3,50,Large,107567.0,103725.3,No
4,1,9,43,Medium,62247.0,53928.91,Yes
29,1,4,41,Small,96156.0,99025.14,No
4,2,6,50,Small,51536.0,57757.48,No
11,1,10,41,Medium,84965.0,81988.22,No
15,1,5,40,Medium,72479.0,66311.03,Yes
25,3,10,36,Small,117768.0,115739.23,No
25,1,1,33,Medium,81468.0,70429.8,Yes
20,2,9,48,Small,88410.0,96910.29,No
38,2,1,30,Medium,108896.0,119557.16,No
35,1,8,57,Medium,128632.0,132027.9,No
32,3,9,53,Medium,125229.0,119710.27,Yes
29,3,9,58,Small,115147.0,125502.75,No
36,1,1,32,Medium,103429.0,105125.87,Yes
22,1,2,42,Small,73450.0,80631.92,No
9,2,1,44,Small,51904.0,53950.97,No
4,1,10,31,Medium,69646.0,75588.31,No
35,3,2,40,Medium,121949.0,125554.9,No
33,1,10,33,Small,115919.0,112933.2,Yes
30,2,8,48,Small,112991.0,128514.13,No
9,2,5,58,Large,72014.0,72902.23,No
18,2,7,46,Small,90637.0,93494.5,No
31,2,2,32,Large,104934.0,96134.89,Yes
0,2,8,57,Large,73938.0,76725.11,No
4,1,6,47,Large,64076.0,65452.5,No
3,1,8,37,Medium,63502.0,57497.98,Yes
15,1,1,51,Medium,75088.0,65167.08,Yes
23,1,1,54,Small,76612.0,79010.55,Yes
15,2,7,53,Large,95847.0,103429.23,No
1,3,8,55,Medium,69392.0,69879.16,No
27,1,3,48,Medium,87824.0,80625.22,Yes
31,3,5,34,Medium,113643.0,119320.22,No
26,1,1,36,Medium,80186.0,70085.11,Yes
19,1,7,50,Medium,92965.0,91342.77,Yes
23,3,5,37,Large,113897.0,102394.55,Yes
11,2,8,57,Large,83521.0,75614.71,Yes
34,1,8,34,Large,125878.0,114635.61,Yes
32,1,9,46,Large,126204.0,121914.59,Yes
32,1,7,34,Small,101457.0,87795.31,Yes
36,3,1,33,Large,117170.0,113577.34,No
11,2,3,51,Medium,75600.0,75865.52,No
2,3,8,48,Large,79351.0,78953.32,No
0,3,3,56,Small,42997.0,41485.02,Yes
32,2,8,50,Medium,115356.0,127092.78,No
39,3,1,31,Large,136273.0,121773.28,Yes
9,2,5,40,Large,72817.0,72941.45,Yes
28,1,4,51,Large,109001.0,94679.62,Yes
12,2,5,42,Medium,72928.0,63545.57,Yes
11,1,8,44,Medium,83282.0,85127.51,Yes
30,3,10,41,Small,128292.0,130832.89,Yes
1,3,4,51,Medium,68741.0,76536.92,No
34,1,4,50,Medium,116196.0,118213.41,No
22,3,3,51,Large,97747.0,111229.96,No
16,2,7,40,Medium,96178.0,83156.31,Yes
25,1,3,36,Large,96492.0,84855.29,Yes
7,3,3,57,Large,80275.0,69294.97,Yes
28,1,10,34,Medium,119178.0,107925.58,Yes
25,2,5,46,Small,93271.0,94425.79,No
9,2,5,53,Small,57842.0,60368.06,No
25,3,6,49,Medium,115512.0,99764.89,Yes
33,2,8,38,Small,123939.0,140520.96,No
6,1,10,43,Large,75561.0,83317.31,No
3,2,6,55,Large,66835.0,62756.98,Yes
10,1,1,41,Medium,57122.0,49876.43,Yes
28,1,8,35,Small,106252.0,95729.45,Yes
35,2,8,46,Small,126806.0,112614.29,Yes
24,3,9,48,Large,125323.0,111159.64,Yes
20,2,9,48,Medium,108503.0,109107.2,No
35,1,2,55,Small,98069.0,90591.65,Yes
9,1,2,45,Medium,55712.0,53341.0,Yes
36,2,3,41,Small,103148.0,118295.45,No
8,3,1,41,Large,80543.0,84996.57,No
23,3,4,49,Large,103096.0,116982.43,No
34,1,4,35,Medium,102917.0,91880.9,Yes
34,1,9,52,Large,134378.0,129626.64,Yes
35,3,9,55,Small,123572.0,125601.0,No
17,2,9,33,Large,105359.0,91981.3,Yes
38,1,10,35,Medium,126186.0,107416.62,Yes
31,1,7,40,Medium,117454.0,123459.46,No
23,3,2,30,Medium,101809.0,106140.55,Yes
22,2,10,59,Small,97391.0,94784.49,Yes
31,3,5,53,Small,112780.0,112429.62,Yes
36,2,4,52,Small,107671.0,104939.7,Yes
11,2,8,44,Small,70606.0,60523.57,Yes
12,2,2,56,Small,70075.0,66614.1,Yes
22,1,6,40,Large,93104.0,84084.52,Yes
24,3,5,54,Small,94008.0,82682.6,Yes
34,3,2,48,Small,108317.0,123158.18,No
29,2,10,47,Large,133504.0,137483.48,No
16,1,1,46,Small,59348.0,63419.09,No
19,1,8,48,Medium,95343.0,90061.87,Yes
24,3,2,50,Small,91463.0,88531.07,Yes
21,1,7,43,Small,79990.0,73676.97,Yes
12,1,9,56,Medium,89649.0,78809.51,Yes
18,2,9,47,Medium,104479.0,94418.66,Yes
35,1,8,57,Medium,122536.0,133472.85,No
11,2,10,48,Medium,95242.0,100314.95,No
18,3,9,44,Small,93203.0,94515.17,Yes
11,1,2,44,Medium,57913.0,57480.21,No
8,3,6,33,Medium,80474.0,90672.49,No
6,3,4,36,Large,82226.0,71686.31,Yes
27,1,4,42,Medium,99454.0,92907.96,Yes
13,1,5,32,Medium,73750.0,70429.88,Yes
30,3,3,45,Large,125698.0,136348.11,No
18,1,1,38,Large,78316.0,89887.53,No
15,2,8,37,Small,77504.0,71474.28,Yes
4,2,5,49,Large,73355.0,81592.19,No
34,1,3,42,Small,102445.0,112606.19,No
11,3,10,46,Large,102724.0,94238.71,Yes
24,1,7,46,Large,107640.0,104389.25,No
20,1,7,46,Small,80424.0,78244.66,Yes
35,3,1,30,Large,123115.0,140777.84,No
22,3,9,37,Small,108770.0,98357.18,Yes
15,2,2,48,Large,84783.0,92392.05,No
38,3,5,35,Medium,127385.0,121048.59,Yes
38,2,5,32,Large,136529.0,145985.15,No
13,3,8,56,Small,91633.0,89434.11,Yes
30,1,8,34,Large,123901.0,126813.66,Yes
4,2,7,42,Small,61800.0,67966.62,No
34,2,7,44,Small,116384.0,127004.0,No
22,2,6,43,Medium,90791.0,100771.38,No
28,1,6,58,Medium,104090.0,90338.17,Yes
10,1,9,52,Small,68417.0,72358.86,No
17,1,6,45,Large,88431.0,78880.12,Yes
11,1,2,47,Small,57248.0,55802.23,No
8,1,2,51,Small,52560.0,53326.14,No
9,2,5,58,Large,76022.0,73803.82,No
16,1,4,51,Large,89482.0,90008.47,Yes
37,2,2,40,Large,124978.0,143594.46,No
6,1,3,32,Large,62299.0,55481.32,Yes
12,3,7,51,Small,83108.0,87482.54,No
39,2,8,39,Small,130612.0,126536.94,Yes
8,3,6,39,Medium,78682.0,70019.34,Yes
26,2,5,59,Small,97965.0,87935.44,Yes
1,3,1,50,Large,62578.0,71012.38,No
4,1,8,45,Medium,69591.0,77516.05,No
28,1,3,41,Large,96774.0,108591.32,No
36,1,6,31,Small,111862.0,128357.15,No
37,2,3,38,Medium,114863.0,104811.87,Yes
18,3,7,53,Large,109134.0,104401.05,Yes
7,1,7,32,Medium,68564.0,72044.7,Yes
0,3,9,53,Medium,73721.0,73362.77,Yes
21,3,5,59,Small,96710.0,94342.24,Yes
16,1,8,54,Large,100319.0,96039.73,Yes
6,1,10,59,Medium,78061.0,80257.18,No
24,3,10,44,Medium,111251.0,113773.95,Yes
3,1,8,32,Large,74625.0,67045.89,Yes
35,1,1,48,Medium,105265.0,104372.56,Yes
5,1,5,47,Medium,62882.0,63890.72,No
30,2,3,37,Medium,110080.0,112401.16,No
18,3,1,55,Large,91438.0,83485.83,Yes
38,3,4,46,Large,134811.0,144609.25,No
26,2,8,37,Large,125739.0,107828.7,Yes
9,3,3,36,Large,84689.0,81000.76,Yes
25,1,10,59,Small,104481.0,113264.07,No
18,3,2,36,Medium,85720.0,87363.07,No
38,1,9,32,Large,143558.0,133271.89,Yes
2,2,10,30,Medium,76539.0,81015.46,No
12,1,5,33,Medium,66205.0,67543.49,No
27,3,7,54,Small,114680.0,124871.97,No
19,3,2,34,Large,88507.0,94747.41,No
27,3,9,30,Large,127837.0,132059.76,No
7,2,9,44,Medium,74459.0,74194.92,No
38,2,4,34,Large,134664.0,119844.85,Yes
0,3,4,42,Medium,55176.0,51225.39,Yes
2,1,6,37,Medium,49851.0,48641.11,Yes
12,2,10,37,Small,80966.0,83377.96,No
27,3,10,34,Small,119539.0,120030.59,Yes
24,3,10,57,Small,104717.0,98062.8,Yes
32,2,6,38,Medium,114826.0,97824.78,Yes
